field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.003031348,-0.011619972,0.876512496,-0.481229292,0.000655385,-0.103909971,-0.150165974,,,,,1.76E+18
-0.003038043,-0.011625848,0.876512858,-0.481228449,0.001693132,-0.111944378,-0.164646748,,,,,1.76E+18
-0.003034608,-0.01162119,0.876506807,-0.481239604,0.000310321,-0.112915233,-0.143292876,,,,,1.76E+18
-0.00303136,-0.011618045,0.876500893,-0.481250471,0.000911374,-0.102595624,-0.114231784,,,,,1.76E+18
-0.003024946,-0.01162542,0.876509743,-0.481234215,0.001347887,-0.083276933,-0.146444499,,,,,1.76E+18
-0.003042537,-0.011643484,0.87651297,-0.48122779,0.004203923,-0.146370835,-0.212063233,,,,,1.76E+18
-0.003037438,-0.011586256,0.876486517,-0.481277382,-0.002398166,-0.124883704,0.027052527,,,,,1.76E+18
-0.00291096,-0.011619987,0.876493195,-0.481265188,-0.014732109,-0.090768838,0.025556873,,,,,1.76E+18
-0.002706736,-0.011677189,0.876534062,-0.481190561,-0.03195582,0.117382045,0.197212738,,,,,1.76E+18
-0.002412909,-0.011844414,0.876625331,-0.481021742,-0.0596129,-0.034323708,0.225901276,,,,,1.76E+18
-0.002066665,-0.012010068,0.876773693,-0.480748769,-0.076306023,0.237905438,0.27576656,,,,,1.76E+18
-0.00195343,-0.012167648,0.876740208,-0.480806344,-0.019797636,-0.10457388,0.306040256,,,,,1.76E+18
-0.001516419,-0.012505573,0.876848268,-0.480602149,-0.043102961,-0.000369736,-0.094779463,,,,,1.76E+18
-0.001139455,-0.012943836,0.877034281,-0.480252046,-0.029467082,0.004601785,-0.803836404,,,,,1.76E+18
-0.001113046,-0.013181767,0.877212312,-0.479920371,-0.027103616,-0.149451562,-0.95557007,,,,,1.76E+18
-0.001238661,-0.013209096,0.877274468,-0.479805683,-0.013820201,-0.511529901,-0.605737251,,,,,1.76E+18
